title,location,description,price per year,number of bedrooms,number of bathrooms,number of toilets
4 BEDROOM DUPLEX FOR RENT,Banana Island Estate Ikoyi Ikoyi Lagos,Family Friendly 4 Bedroom Semi Detached House +2bq+tennis Etc @n20m,"20,000,000",4.0,4.0,5.0
4 BEDROOM BLOCK OF FLATS For Rent,"Channel's Tv Road, Wisdom Estate. Opic Lagos Extension Ogun",Brand New 3 Bedroom Serviced Apartments With Maid's Room,"1,800,000",4.0,4.0,5.0
4 BEDROOM TERRACE FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Luxury 4 Bedroom Terrace House (not New) + Bq+pool + Etc,"14,000,000",4.0,4.0,5.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Beautiful 3 Bedroom Apartment + Tennis+squash+pool Etc @n20m,"20,000,000",3.0,3.0,4.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Well Sized Reasonably Priced 4 Bedroom Apartment +bq+pool @n15m,"15,000,000",4.0,3.0,6.0
OFFICE FOR RENT,Ikoyi Ikoyi Ikoyi Lagos,Direct Clients Only Serviced Ultra Modern Office Spaces @$550 P/sqmt,"235,000",,,
4 BEDROOM FLAT & APARTMENT FOR RENT,Ikoyi Ikoyi Ikoyi Lagos,Direct Clients Only Highly Rated 4 Bedroom Apartment +2bq+pool,"16,000,000",4.0,4.0,5.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Classic 3 Bedroom Apartment,"16,000,000",3.0,3.0,4.0
3 BEDROOM TERRACE FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Newly Built 3 Bedroom Maisonette On 2 Floors + Bq+pool,"15,000,000",3.0,3.0,4.0
6 BEDROOM DUPLEX FOR RENT,"River Park Estate, Along Airport Road Lugbe Abuja Phase 4 Abuja",Newly Built Spacious Fully Detached 6 Bedroom Duplex,"7,000,000",6.0,6.0,6.0
5 BEDROOM DUPLEX FOR RENT,Magodo Phase 2 Magodo Isheri Ikeja Lagos,Brand New 5 Bedroom Fully Detached Duplex,"8,500,000",5.0,5.0,5.0
2 BEDROOM BLOCK OF FLATS For Sale,"1st Avenue, Banana Island Banana Island Ikoyi Lagos",2 Bedroom Apartment Leonardo By Sujimoto,"1,800,000",4.0,4.0,5.0
3 BEDROOM TERRACE FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Newly Built 4 Nos 3 Bedroom Terrace Houses +bq+pool+gym,"25,000,000",3.0,3.0,4.0
7 BEDROOM DUPLEX FOR RENT,Victoria Island Victoria Island Victoria Island Lagos,Fully Detached 7 Bedroom House + 5 Rooms Bq @n20m X 2yrs Minimum,"20,000,000",7.0,7.0,8.0
2 BEDROOM BUNGALOW FOR RENT,Ogba Lagos,Lovely 2 Bedroom Bungalow With Bq,"2,000,000",2.0,2.0,2.0
4 BEDROOM TERRACE FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Luxury 4 Bedroom Terrace House +2rooms Bq +tennis+squash Etc,"22,000,000",4.0,4.0,5.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Luxury Waterfront 3 Bedroom Apartment @n15m,"15,000,000",3.0,3.0,
4 BEDROOM DUPLEX FOR RENT,Off Banana Island Road Ikoyi Ikoyi Lagos,Luxury 4 Bedroom Semi Detached House + Bq + Pool X 2yrs Rent,"18,000,000",4.0,4.0,5.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,Alluring 2 Bedroom Apartment+pool+gym,"10,000,000",2.0,2.0,3.0
3 BEDROOM TERRACE FOR RENT,Banana Island Estate Ikoyi Ikoyi Lagos,Quiet & Luxury 3 Bedroom Terrace House +bq+ Pool,"13,000,000",3.0,3.0,4.0
4 BEDROOM HOUSE FOR RENT,Parkview Estate Parkview Estate Ikoyi Lagos,Recently Built 4 Bedroom Semi Detached Terrace House+bq,"9,500,000",4.0,4.0,5.0
OFFICE FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Beautiful Office Spaces 338.5sqmts & More,450/sqm,,,3.0
4 BEDROOM TERRACE FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,New & Fresh 4 Bedroom Luxury Terrace House +bq+pool Etc,"15,000,000",4.0,4.0,5.0
4 BEDROOM TERRACE For Rent,Old Ikoyi Lagos,Luxury 4 Bedroom Terrace House+green Area+pool+gym+bq,"197,500/month",1.0,1.0,2.0
4 BEDROOM TERRACE FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,New & Highly Central Luxury 4 Bedroom Terrace House +bq Etc,"15,000,000",4.0,4.0,5.0
OFFICE FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Massive Commercial Property On Large Grounds With 5 Staff Rooms @n30m,"30,000,000",,,
3 BEDROOM FLAT & APARTMENT FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Highly Notable Luxury 3 Bedroom Apartment+bq+gym+pool @n15m,"15,000,000",3.0,3.0,4.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Omole Phase 1 Omole Ikeja Lagos,Standard 3bedroom Flat,"3,500,000",3.0,3.0,3.0
4 BEDROOM TERRACE FOR RENT,Parkview Estate Parkview Estate Ikoyi Lagos,Premium 4 Bedroom Terrace House + Bq+pool,"9,000,000",4.0,4.0,5.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Classy & Executive 2 Bedroom,"7,500,000",2.0,2.0,3.0
4 BEDROOM TERRACE FOR RENT,Ahmadu Bello Way Victoria Island Victoria Island Lagos,Direct Cash Ready Clients Well Upgraded 4 Bedroom Terrace,"5,500,000",4.0,3.0,4.0
4 BEDROOM BLOCK OF FLATS FOR RENT,Off Bourdillon Road Ikoyi Ikoyi Ikoyi Lagos,Highly Serene 4 Bedroom Lagoon View Apartment +jetty+tennis @n14m,"14,000,000",4.0,4.0,5.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Well Priced 4 Bedroom Penthouse Apartment + Bq+ Tennis+gym+pool @n17m,"17,000,001",4.0,4.0,5.0
2 BEDROOM BLOCK OF FLATS For Sale,Kofo Abayomi Victoria Island Lagos,15 Nos 2 Bedroom Luxury Apartments With Large Pool,"22,000,000",,,
3 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,Decent 3 Bedroom Apartment+ Bq+pool+; Tennis Etc,"12,500,000",3.0,3.0,4.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Premium 3 Bedroom Apartment + Bq+pool+ Gym In Central Ikoyi @n10m,"10,000,000",3.0,3.0,4.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Banana Island Road Ikoyi Ikoyi Lagos,Well Located 3 Bedroom Waterfront Apartment+bq+pool+gym+jetty @n10m,"10,000,000",3.0,3.0,4.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Ikoyi Ikoyi Ikoyi Lagos,Newly Built 3 Bedroom Apartment + Bq Etc @n10m / S.c N3m,"10,000,000",3.0,3.0,4.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Ikoyi Ikoyi Ikoyi Lagos,Premium 3 Bedroom Apartment +,"7,500,000",3.0,3.0,4.0
4 BEDROOM BLOCK OF FLATS FOR RENT,Off Onikoyi Road Ikoyi Ikoyi Ikoyi Lagos,Luxury 4 Bedroom Apartment + Bq+tennis+pool Etc,"20,000,000",4.0,4.0,5.0
3 BEDROOM TERRACE FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Private & Medium Size 3 Bedroom Terrace House +pool+bq @n13m,"13,000,000",3.0,2.0,3.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Ocean Facing 3 Bedroom Apartment+bq + Tennis Etc @n15m,"15,000,000",3.0,3.0,4.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Off Bourdillon Road Ikoyi Ikoyi Ikoyi Lagos,Direct Clients Only Ultra Lux 2 Bed Apartment + Tennis Etc @n18m / S.c N5.5m,"18,000,001",2.0,2.0,3.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Off Ajayi Road Ogba Lagos,A Lovely 2 Bedroom Flat,"1,500,000",2.0,2.0,2.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Ikoyi Ikoyi Ikoyi Lagos,Family Deal! 3 Bedroom Apartment + Bq+pool+gym+tennis @n9m,"9,000,000",3.0,3.0,
1 BEDROOM MINI FLAT For Rent,65 Agungi Ajiran Road Agungi Lekki Lagos,Monthly Rental 1 Bedroom Flat,"197,500/month",1.0,1.0,2.0
4 BEDROOM DUPLEX FOR RENT,Lekki Phase 1 Lekki Lagos,Furnished 4 Bedroom Duplex,"8,000,000",4.0,4.0,4.0
4 BEDROOM DUPLEX FOR RENT,Omole Phase 2 Estate Omole Ikeja Lagos,Hot And Still Fresh 4 Bedroom Duplex With All Room Ensuite,"5,000,000",4.0,4.0,
4 BEDROOM DUPLEX FOR RENT,Estate Behind Excellent Hotel Ogba Lagos,4 Bedroom Wing Duplex With1room Bq,"4,000,000",4.0,4.0,4.0
4 BEDROOM TERRACE FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,One Of The Best Sized & Reasonably Priced 4 Bedroom Terrace +2bq+private Garden,"8,000,000",4.0,4.0,5.0
5 BEDROOM DUPLEX FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Well Located & Newly Built 5 Bedroom Detached House+private Elevator+ Pool In A Mini Estate @n25m,"25,000,000",5.0,5.0,6.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Luxury 3 Bedroom Apartment + Bq+gym+pool+lounge,"16,000,000",3.0,3.0,4.0
4 BEDROOM DUPLEX FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Newly Built 4 Bedroom Semi Detached House + Bq In Banana Island Estate @n25m,"25,000,000",4.0,4.0,5.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Off Awolowo Road Ikoyi Ikoyi Ikoyi Lagos,New & Luxury 2 Bedroom Apartment+ Bq+pool+gym Overlooking The Golf Course & Polo Club,"11,000,000",2.0,2.0,3.0
5 BEDROOM DUPLEX FOR RENT,Ikeja Gra Ikeja Lagos,5 Bedroom Detached Duplex With Bq,"15,000,000",5.0,5.0,5.0
3 BEDROOM TERRACE For Sale,"Off Adenike Olotun Street, Ikota Gra, Lekki, Lagos Ikota Lekki Lagos",Tastefully Furnished 3 Bedroom Terrace Duplex In A Shared Compound At Pentagon Court Phase 5,"42,000,000",3.0,4.0,4.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Ikoyi Ikoyi Ikoyi Lagos,Premium & Central Newly Built 3 Bedroom Apartment +,"12,500,000",3.0,3.0,4.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Off Awolowo Road Ikoyi Awolowo Road Ikoyi Lagos,Direct Clients Only Furnished 2 Bed,"6,500,001",2.0,2.0,3.0
4 BEDROOM DUPLEX FOR RENT,Parkview Estate Parkview Estate Ikoyi Lagos,Recently Built 4 Bedroom Semi Detached Terrace House +bq+private Garage,"9,500,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Unity Estate Ojodu Lagos,Brand New 4bedroom Duplex All Room Ensuit,"2,500,000",4.0,4.0,4.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Central Ikoyi Ikoyi Ikoyi Lagos,Top Of The Range 2 Bedroom,"7,500,001",2.0,2.0,
3 BEDROOM TERRACE FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Top Of The Range 3 Bedroom Terrace House +2bq+pool+gym @n13m,"13,000,000",3.0,3.0,4.0
4 BEDROOM DUPLEX FOR RENT,Ikate Ikate Elegushi Lekki Lagos,Exquisite Furnished 4 Bedroom Duplex,"8,000,000",4.0,4.0,4.0
4 BEDROOM TERRACE FOR RENT,Parkview Parkview Estate Ikoyi Lagos,Premium 4 Bedroom Terrace House+bq+24/7 Power @n9m,"9,000,000",4.0,4.0,5.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Premium 3 Bedroom Apartment + Pool+gym+ Elevators Etc @n6m,"6,000,001",3.0,3.0,4.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Victoria Island Victoria Island Victoria Island Lagos,Waterfront 3 Bedroom Apartment + Bq+ Pool+ Gym @n6m,"6,000,000",3.0,2.0,3.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Ikoyi Ikoyi Ikoyi Lagos,Premium 4 Bedroom Penthouse Apartment+study+ With Double Living Area+bq @n9m,"9,000,001",4.0,4.0,5.0
4 BEDROOM BLOCK OF FLATS For Rent,Opic Lagos Extension Ogun,Tastefully Built 12 Units Of 3 Bedrooms + Maid Room Serviced Apartments,"15,000,000",3.0,3.0,4.0
4 BEDROOM DUPLEX FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Luxury 4 Bedroom Semi Detached House + Private Pool+2bq,"30,000,000",4.0,4.0,5.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Central Ikoyi Ikoyi Ikoyi Lagos,Class Leading 2 Bedroom Apartment +tennis+pool Etc @n18m,"18,000,000",2.0,2.0,3.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Luxury 2 Bedroom Apartment + Bq+ Gym + Pool,"8,500,001",2.0,2.0,3.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Luxury & Furnished 2 Bedroom Apartment Bq Pool Etc,"12,000,000",2.0,2.0,3.0
5 BEDROOM DUPLEX FOR RENT,Guzape Abuja Phase 1 Abuja,Smart 5 Bedroom Semi Detached Duplex With 2 Rooms Bq.,"15,000,000",5.0,5.0,5.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Allen Junction Allen Avenue Ikeja Lagos,2 Bedroom Flats,"2,500,000",2.0,2.0,2.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Parkview Parkview Estate Ikoyi Lagos,New 6units 3 Bedroom Apartments +bq (single Tenant Wanted For All 6),"36,000,000",3.0,3.0,4.0
5 BEDROOM DUPLEX FOR RENT,Off Banana Island Road Ikoyi Ikoyi Lagos,Newly Built 5 Bedroom Semi Detached House + Bq Etc @n30m X 2yrs,"30,000,000",5.0,5.0,6.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Luxury 3 Bedroom Apartment +bq+pool+gym,"13,000,000",3.0,3.0,4.0
4 BEDROOM TERRACE For Sale,Fantastic Estate Ilasan Lekki Lagos,Luxury 4 Bedrooms Terrace Duplex With Swimming & Bq,"450,000,000",5.0,5.0,6.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Central 3 Bedroom Apartment + /n3.5m S.c,"7,500,000",3.0,3.0,3.0
4 BEDROOM TERRACE FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Cash Ready Clients Only 4 Bedroom Terrace House+bq+pool Etc @n17m,"17,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Off Banana Island Road Ikoyi Ikoyi Lagos,Recently Built Luxury 4 Bedroom Semi Detached House+ Bq+pool X 2yrs,"18,000,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Luxury 3 Bedroom Apartment + Gym+pool+bq,"16,000,000",3.0,3.0,4.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,New & Fresh Waterfront 3 Bedroom Apartment+bq+pool+gym,"15,000,000",3.0,3.0,4.0
COMMERCIAL PROPERTY FOR RENT,Opebi Ikeja Lagos,Twelve Rooms Commercial Duplex With Large Open Space,"20,000,000",,,
2 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Highly Functional Ground Floor 2 Bedroom Furnished,"7,500,000",2.0,2.0,3.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Direct Cash Clients Only Luxury 4 Bedroom Apartment +jetty+tennis Etc@n12m,"12,000,000",4.0,4.0,5.0
4 BEDROOM TERRACE FOR RENT,Victoria Island Victoria Island Victoria Island Lagos,Fresh 4 Bedroom Terrace House +private Elevator+pool+gym,"19,000,000",4.0,4.0,5.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Premium 3 Bedroom Ground Floor Apartment + Low Service Charge+bq Etc @n8.5m,"8,500,000",3.0,3.0,4.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Top Of The Range 3 Bedroom Apartment +tennis+bq+pool @n20m,"20,000,000",3.0,3.0,4.0
4 BEDROOM BLOCK OF FLATS For Rent,Opic Lagos Extension Ogun,Tastefully Built 12 Units Of 3 Bedrooms + Maid Room Serviced Apartments,"1,800,000",4.0,4.0,5.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Outstanding 2 Bedroom Ground Floor Apartment + Bq+gym+pool @n18m,"18,000,001",2.0,2.0,3.0
3 BEDROOM HOUSE FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Premium 3 Bedroom Maisonette On 2 Floors +bq,"12,000,000",3.0,3.0,4.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Premium 3 Bedroom Apartment + Bq+gym Etc,"8,000,000",3.0,3.0,4.0
4 BEDROOM DUPLEX FOR RENT,Off Banana Island Road Ikoyi Ikoyi Lagos,Luxury 4 Bedroom Semi Detached House + Bq + Pool Etc,"18,000,000",4.0,4.0,5.0
3 BEDROOM TERRACE FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Luxury 3 Bedroom Semi Detached Terrace,"15,000,000",3.0,3.0,4.0
3 BEDROOM TERRACE FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Private (just 3 Occupants) 3 Bedroom Terrace House + Bq+pool @n14m,"14,000,000",3.0,3.0,4.0
4 BEDROOM HOUSE FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Exotic & Private Semi Detached House+ Pool+2bq,"30,000,000",4.0,4.0,5.0
4 BEDROOM BLOCK OF FLATS FOR RENT,Central Ikoyi Ikoyi Ikoyi Lagos,Premium 4 Bedroom Apartment + Bq + Pool,"10,000,000",4.0,4.0,5.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Parkview Estate Parkview Estate Ikoyi Lagos,Premium & Reasonably Priced Ground Floor 2 Bedroom Apartment,"5,500,000",2.0,2.0,3.0
6 BEDROOM DUPLEX For Sale,Shoreline Estate Ikoyi Lagos,A Luxurious Furnished 6 Bedroom Waterview Detached Duplex With State Of The Art Facilities,"1,800,000",4.0,4.0,5.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Waterfront 3 Bedroom Apartment+ Bq+pool Etc,"7,000,000",3.0,3.0,4.0
5 BEDROOM DUPLEX FOR RENT,"Von Garden City Estate,along Airport Road Lugbe Abuja Phase 4 Abuja",Standard 5 Bedroom Fully Detached Duplex With One Bedroom Bq,"4,000,000",5.0,5.0,5.0
OFFICE FOR RENT,Ogba Lagos,Brand New Open Space Measuring 600 Sqm Up And Down,"8,000,000",,,
4 BEDROOM DUPLEX FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Serious Clients Only Serviced & Furnished 4 Bedroom Detached House @n20m,"20,000,010",4.0,4.0,5.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Direct & Ready Clients Only Luxury 4 Bedroom Apartment @n12m,"12,000,000",4.0,4.0,5.0
4 BEDROOM HOUSE FOR RENT,Parkview Estate Parkview Estate Ikoyi Lagos,Smart Self Serviced 4 Bedroom Semi Detached House+ Bq,"12,000,000",4.0,4.0,5.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Ikoyi Ikoyi Ikoyi Lagos,New & Fresh 4 Bedroom Apartment + Bq+ 24/7 Power Etc In Ikoyi @n12m/s.c N1.3m,"12,000,000",4.0,4.0,5.0
4 BEDROOM HOUSE FOR RENT,Osborne 2 Ikoyi Lagos,Solid 4 Bedroom Semi Detached House + Bq+pool,"15,000,000",4.0,4.0,5.0
OFFICE FOR RENT,Awolowo Road Ikoyi Awolowo Road Ikoyi Lagos,Direct Cash Ready Clients Only Newly Built & Well Located Office Spaces @n80k P/sqmt,"80,000",,,
3 BEDROOM BLOCK OF FLATS FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Reasonably Priced Ground Floor 3 Bedroom Apartment,"9,000,000",3.0,3.0,4.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Ikoyi Ikoyi Ikoyi Lagos,Highly Central & Family Friendly Luxury 3 Bedroom Apartment +bq+tennis Etc @n8m,"8,500,000",3.0,3.0,3.0
3 BEDROOM FLAT & APARTMENT For Rent,Banana Island Estate Banana Island Ikoyi Lagos,Exquisite Waterfront 3 Bedroom Apartment + Bq+tennis Etc,"1,800,000",4.0,4.0,5.0
4 BEDROOM HOUSE FOR RENT,Banana Island Ikoyi Lagos,Luxury 4 Bedroom Terrace Duplex,"30,000,000",4.0,4.0,5.0
4 BEDROOM HOUSE FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Beautiful 4 Bedroom Maisonette,"28,000,000",4.0,4.0,5.0
4 BEDROOM HOUSE FOR RENT,Old Ikoyi Lagos,Tastefully Built 4 Bedroom Terraced House + Bq,"16,000,000",4.0,4.0,5.0
4 BEDROOM HOUSE FOR RENT,Off Awolowo Road Ikoyi Awolowo Road Ikoyi Lagos,Commercial Waterfront Property,"25,000,000",4.0,4.0,5.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Ikoyi Ikoyi Ikoyi Lagos,Direct Clients Well Priced 4 Bedroom Apartment +bq+pool+tennis @n15m,"15,000,001",4.0,4.0,5.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Direct Cash Clients Top Rated Family Friendly 4 Bedroom Apartment+bq+gym Etc,"16,000,000",4.0,4.0,5.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Renovated Block Of City View 7th Floor 4 Bedroom Apartments @n19m,"19,000,000",4.0,4.0,5.0
5 BEDROOM DUPLEX FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,New & Well Built 4 Bedroom Detached House + Study In A Mini Estate @n20m,"20,000,000",5.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Corporate Client Luxury 3 Bedroom Apartment+bq+pool,"11,000,000",3.0,3.0,4.0
4 BEDROOM DUPLEX For Sale,Ikate Elegushi Lekki 1 Ikate Elegushi Lekki Lagos,"Corner Unit 4 Bedrooms Terrace With Bq 24hrs Serviced Big Estate With Swimming Pool, Gym, Children's Playground, Mini Mart","8,500,000",,,
3 BEDROOM FLAT & APARTMENT FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,3 Bedroom Apartment + Bq+swimming Pool +gym @n10m S.c N2.5m,"10,000,000",3.0,3.0,4.0
WAREHOUSE FOR RENT,"New Oko Oba ,alhaja Kehinde Street .beckley Estate Abule Egba Agege Lagos",Warehouse Plus The Office Structure,"4,000,000",,,
4 BEDROOM TERRACE FOR RENT,Ikoyi Ikoyi Ikoyi Lagos,Newly Built 4 Bedroom Maisonette On 2 Floors +bq+pool+gym @n14m,"14,000,000",4.0,4.0,4.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Direct Cash Ready Clients Strategically Located 3 Bedroom,"8,500,001",3.0,3.0,4.0
5 BEDROOM DUPLEX FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Fully Detached 5 Bedroom House + 2 Rooms Bq @n24m X 5yrs Minimum,"24,000,000",5.0,5.0,6.0
5 BEDROOM DUPLEX FOR RENT,Bera Estate Chevron Drive Lekki Lagos,5bedroom Fully Detached Duplex,"6,500,000",5.0,5.0,5.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Off Awolowo Road Ikoyi Ikoyi Ikoyi Lagos,Fully Furnished 2 Bedroom Apartment + Bq+pool+gym @n9m Rent S.c N1.8m,"9,000,000",2.0,2.0,3.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Top Executive 2 Bedroom Penthouse / Terrace + Bq+tennis Etc,"16,000,000",2.0,2.0,3.0
5 BEDROOM COMMERCIAL PROPERTY FOR RENT,Airport Road Ajao Estate Isolo Isolo Lagos,5 Bedroom Fully Detached Duplex With Mini Flat Bq,"10,000,000",5.0,5.0,5.0
WAREHOUSE FOR RENT,Agidinbgi Ikeja Lagos,300sqm Warehouse With A 5bedroom Bungalow Office Space,"8,000,000",,,
BLOCK OF FLATS FOR RENT,Opebi Ikeja Lagos,10 Flats Of 4bedroom Each All Rooms En Suite,"5,000,000",,,
4 BEDROOM BLOCK OF FLATS For Rent,"Channel's Tv Road, Wisdom Estate. Opic Lagos Extension Ogun","Beautifully Built Luxury 3 Bedroom Apartments With Maid's Room, Inverter & 275kva Generator","1,800,000",4.0,4.0,5.0
WAREHOUSE FOR RENT,Opp Excellence Hotel Ogba Lagos,Warehouse For Storage,"1,000,000",,,
4 BEDROOM DUPLEX FOR RENT,Unity Estate Ojodu Lagos,Brand New 4bedroom Duplex All Room Ensuit,"2,500,000",4.0,4.0,4.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Off Banana Island Road Ikoyi Ikoyi Lagos,Unique & Newly Built 3 Bedroom Apartment +bq+pool+gym @n20m,"20,000,000",3.0,3.0,
3 BEDROOM FLAT & APARTMENT FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Class Leading 3 Bedroom Apartment + Bq+ Squash Gym Etc In Banana Island Estate @n23m,"23,000,001",3.0,3.0,4.0
4 BEDROOM DUPLEX FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Payment Ready Clients Only Luxury 4 Bedroom Semi Detached Terrace House @n20m,"20,000,000",4.0,4.0,5.0
2 BEDROOM DUPLEX FOR RENT,"River Park Estate,along Airport Road Lugbe Abuja Phase 4 Abuja",Newly Built Standard 2 Unit Of 2 Bedroom Semi Detached Duplex,"2,300,000",2.0,2.0,2.0
BLOCK OF FLATS FOR RENT,Off Ayo Alabi Ogba Lagos,5 Numbers Of 2 Bedroom Blocks Of Flats,"1,300,000",,,
3 BEDROOM BLOCK OF FLATS FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Luxury 3 Bedroom Apartment+ Bq + Pool Etc @n14m,"14,000,000",3.0,3.0,4.0
4 BEDROOM HOUSE FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,New & Well Maintained 4 Bed Terrace House +bq+pool+gym @n12m,"12,000,000",4.0,4.0,
4 BEDROOM DUPLEX For Sale,Sangotedo Ajah Lagos,4bedroom Fully Detached And Bq At Dariann Court,"30,000,000",,,
3 BEDROOM BLOCK OF FLATS FOR RENT,Central Ikoyi Ikoyi Ikoyi Lagos,Premium 3 Bedroom Apartment +bq +pool +gym,"13,000,000",3.0,3.0,4.0
