title,location,description,price per year,number of bedrooms,number of bathrooms,number of toilets
4 BEDROOM HOUSE FOR RENT,"Banana Island Road, Ikoyi Lagos",Luxury 4 Bedroom Semi Detached Terraced House + Bq,"15,000,000",4.0,4.0,5.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Banana Island Ikoyi Lagos,Lovely Waterfront 4 Bedroom Apartment + Bq,"70,000",4.0,3.0,4.0
4 BEDROOM HOUSE FOR RENT,Ikoyi Lagos,Solid 4 Bedroom Detached Duplex,"17,500,000",4.0,0.0,0.0
3 BEDROOM BLOCK OF FLATS For Sale,"N.d.d.c ( Opposite Wide Choice Supermarket ) Iwofe, Rumuolumini Port Harcourt Rivers",3 Bedroom Block Of Flats ( 2 Units ),"120,000,000",4.0,,
4 BEDROOM HOUSE FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Decent 4 Bedroom Semi Detached Terrace House+bq,"25,000,000",4.0,4.0,5.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Old Ikoyi Ikoyi Lagos,"Luxury 4 Bedroom Apartment + Bq, Pool & Tennis Court","11,800,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Old Ikoyi Old Ikoyi Ikoyi Lagos,Premium 3 Bedroom Apartment+bq+tennis+squash+pool,"7,500,000",3.0,3.0,4.0
4 BEDROOM BLOCK OF FLATS FOR RENT,Old Ikoyi Old Ikoyi Ikoyi Lagos,Premium 4 Bedroom Apartment +bq+tennis+gym+pool+squash,"9,500,000",4.0,4.0,5.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Old Ikoyi Old Ikoyi Ikoyi Lagos,Premium Ground Floor 2 Bedroom Apartment+pool+gym,"8,000,000",2.0,2.0,3.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Off Adeola Odeku Street Adeola Odeku Victoria Island Lagos,Luxury 3 Bedroom Apartment +bq+gym+pool,"15,000,000",3.0,3.0,4.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Ikate Lekki Ikate Elegushi Lekki Lagos,Tastefully Furnished 2bedrooms Apartment For Rent.,"5,700,000",2.0,,
3 BEDROOM BLOCK OF FLATS FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Highly Rated 3 Bedroom Luxury Apartment + Bq+ Gym,"26,000,000",3.0,3.0,4.0
4 BEDROOM DUPLEX FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Luxury 4 Bed Detached Duplex + Bq In Shared Premises With S/pool,"17,000,000",4.0,4.0,5.0
4 BEDROOM BLOCK OF FLATS FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Luxury 4 Bedroom Penthouse Apartment + Bq+tennis+bq+swimming Pool+kids Play Area,"24,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Just In! Penthouse On 2 Floors 4 Bedrooms + Bq+pool Gym Tennis Etc,"25,000,000",4.0,4.0,5.0
3 BEDROOM FLAT & APARTMENT For Rent,Parkview Estate Ikoyi Lagos,Premium 3 Bedroom Apartment +bq+pool+gym,"7,000,000",3.0,3.0,4.0
4 BEDROOM BLOCK OF FLATS FOR RENT,Banana Island Ikoyi Lagos,Luxury 4 Bedroom Apartment + Bq+tennis,"19,000,000",4.0,4.0,5.0
4 BEDROOM HOUSE FOR RENT,Parkview Estate Parkview Estate Ikoyi Lagos,Classic Bedroom Terrace+ Private Garden+bq,"8,000,000",4.0,3.0,4.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Luxury 3 Bedroom Apartment + Bq+gym+pool Etc In Banana Island Estate @n13m,"15,000,000",3.0,3.0,4.0
4 BEDROOM DUPLEX FOR RENT,Osborne 1 Ikoyi Ikoyi Lagos,Expatriates Preferable Luxury 4 Bedroom Semi Detached House + Bq+jetty+pool Etc,"12,500,000",4.0,3.0,4.0
4 BEDROOM DUPLEX FOR RENT,Osborne Phase 2 Foreshore Estate Ikoyi Ikoyi Lagos,Waterfront 4 Bedroom Semi Detached Terrace House + Bq,"12,000,000",4.0,4.0,5.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Ikoyi Banana Island Ikoyi Lagos,2 Bedroom Apartment,"13,500,000",2.0,2.0,2.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Decent 3 Bedroom Apartment + Bq+pool,"12,000,000",3.0,3.0,4.0
4 BEDROOM HOUSE FOR RENT,Parkview Estate Parkview Estate Ikoyi Lagos,Lovely 4 Bedroom Semi Detached House+2bq,"20,000,000",4.0,4.0,5.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Lagos,Exquisitely Built 4 Bedroom Apartment + Bq,"15,000,000",3.0,3.0,4.0
4 BEDROOM DUPLEX For Sale,"Off Adenike Olotun Street, Ikota Gra Ikota Lekki Lagos",Magnificent 4 Bedroom Terrace Duplex With Self Compound,"8,500,000",,,
4 BEDROOM TERRACE FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Luxury 4 Bedroom Terrace House + Bq+ Pool,"12,500,000",4.0,4.0,5.0
3 BEDROOM HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,Luxury 3 Bedroom Terrace House + Bq Pool,"16,000,000",3.0,3.0,4.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Lagos,Lovely 4 Bedroom Apartment + Bq,"18,000,000",4.0,4.0,5.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Lagos,Cleanly Furnished 3 Bedroom Apartment + Bq,"25,000,000",3.0,3.0,4.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Premium 3 Bedroom Apartment + Bq + Swimming Pool Etc,"12,000,000",3.0,3.0,4.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Luxury 3 Bedroom Apartment+bq+tennis+jetty,"12,000,000",3.0,3.0,4.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Waterfront 3 Bedroom Apartment + Pool + Gym,"15,000,000",3.0,3.0,4.0
4 BEDROOM HOUSE FOR RENT,Old Ikoyi Lagos,Executive 4 Bedroom Terraced Duplex + Bq,"25,000,000",4.0,3.0,4.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Ikoyi Lagos,Attractive 3 Bedroom Apartment + Bq,"13,000,000",3.0,3.0,4.0
4 BEDROOM HOUSE FOR RENT,Off Bourdillon Road Ikoyi Ikoyi Lagos,Newly Built 4 Bedroom Terrace House +bq+pool,"15,000,000",4.0,4.0,5.0
4 BEDROOM HOUSE FOR RENT,Banana Island Ikoyi Lagos,Classic 4 Bedroom Semi Detached House,"17,000,000",4.0,3.0,4.0
3 BEDROOM FLAT & APARTMENT For Rent,Oregun Ikeja Lagos,3 Bedroom Flats Plus Bq,"7,000,000",3.0,3.0,4.0
4 BEDROOM HOUSE FOR RENT,Parkview Estate Parkview Estate Ikoyi Lagos,Lovely Serviced 4 Bedroom Semi Detached House +bq,"12,000,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Family Friendly Luxury 3 Bedroom Apartment + Bq+tennis+pool+gym,"15,000,000",3.0,3.0,4.0
4 BEDROOM DUPLEX FOR RENT,Ajah Ajah Lagos,Brand New 4 Bedroom Fully Detached Swimming Pool Duplex With Bq,"5,000,000",4.0,4.0,4.0
4 BEDROOM DUPLEX FOR RENT,Old Ikoyi Old Ikoyi Ikoyi Lagos,Luxury 4 Bedroom Semi Detached Terrace House+bq+pool,"20,000,000",4.0,4.0,5.0
4 BEDROOM TERRACE FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,New & Luxury Waterview 4 Bedroom Maisonette On 2 Floors + Bq+pool,"40,000,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Luxury 3 Bedroom Apartment + Bq+gym+pool,"14,500,000",3.0,2.0,3.0
4 BEDROOM BLOCK OF FLATS FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Luxury 4 Bedroom Apartment Bq Pool Gym Etc,"11,000,000",4.0,4.0,5.0
5 BEDROOM DUPLEX FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,"New Luxury 5 Bedroom Detached Duplex With Rooftop, Swimming Pool & Bq In A Mini Estate","25,000,000",5.0,5.0,6.0
4 BEDROOM TERRACE FOR RENT,Old Ikoyi Old Ikoyi Ikoyi Lagos,Luxury 4 Bedroom Terrace House+bq+pool,"25,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX For Sale,"Orchid Hotel Road, 2nd Toll Gate Lafiaji Lekki Lagos",Tastefully Finished 4 Bedroom Semi Detached Duplex With Bq,"25,000,000",,,
3 BEDROOM FLAT & APARTMENT FOR RENT,Parkview Estate Ikoyi Lagos,Superb 3 Bedroom Apartment + Bq,"8,500,000",3.0,3.0,4.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Old Ikoyi Lagos,Exclusive 3 Bedroom Apartment,"9,000,000",3.0,3.0,4.0
4 BEDROOM TERRACE FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Luxury 4 Bedroom Terrace House+2 Rooms Bq+tennis+pool Etc,"22,000,000",4.0,4.0,5.0
4 BEDROOM HOUSE FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Classic 4 Bedroom Terrace House +bq+pool,"14,500,000",4.0,4.0,5.0
4 BEDROOM HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,Classic 4 Bedroom Terrace House+garage+bq+pool,"10,000,000",4.0,4.0,5.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Ikoyi Ikoyi Lagos,Luxury 4 Bedroom Apartment+bq+tennis Pool Etc,"25,000,000",4.0,4.0,5.0
4 BEDROOM HOUSE FOR RENT,Parkview Estate Parkview Estate Ikoyi Lagos,Self Serviced 4 Bedroom Terrace House+bq,"10,000,000",4.0,4.0,4.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Parkview Estate Parkview Estate Ikoyi Lagos,Premium 3 Bedroom Apartment +bq+pool+gym,"7,000,000",3.0,3.0,4.0
5 BEDROOM DUPLEX FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Self Serviced Recently Built 5 Bedroom Semi Detached House+bq,"25,000,000",5.0,5.0,6.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Banana Island Ikoyi Lagos,Classic 3 Bedroom Apartment + Bq,"12,000,000",3.0,3.0,4.0
4 BEDROOM TERRACE FOR RENT,Old Ikoyi Old Ikoyi Ikoyi Lagos,Furnished 4 Bedroom Terrace House +bq+pool+gym,"20,000,000",4.0,4.0,5.0
1 BEDROOM MINI FLAT For Rent,65 Agungi Ajiran Road Agungi Lekki Lagos,Monthly Rental 1 Bedroom Flat,"15,000,000",3.0,3.0,4.0
4 BEDROOM TERRACE FOR RENT,Banana Island Estate Ikoyi Ikoyi Lagos,Premium 4 Bedroom Terrace House + Bq (just 3 Occupants Within),"17,000,000",4.0,4.0,4.0
4 BEDROOM DUPLEX FOR RENT,Parkview Estate Parkview Estate Ikoyi Lagos,Premium 4 Bedroom Semi Detached House + 2 Rooms Bq,"18,000,000",4.0,4.0,5.0
3 BEDROOM TERRACE FOR RENT,Old Ikoyi Old Ikoyi Ikoyi Lagos,Luxury 3 Bedroom Maisonette On 2 Floors+bq+pool+gym,"12,000,000",3.0,3.0,4.0
4 BEDROOM HOUSE FOR RENT,Banana Island Ikoyi Lagos,Lovely 4 Bedroom Terraced House + Bq,"20,000,000",4.0,4.0,5.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Banana Island Ikoyi Lagos,Lovely 3 Bedroom Apartment + Bq,"12,500,000",3.0,3.0,4.0
5 BEDROOM COMMERCIAL PROPERTY FOR RENT,Off Awolowo Road Ikoyi Awolowo Road Ikoyi Lagos,Neat Fully Detached House +bq For Office Use,"10,000,000",5.0,4.0,4.0
4 BEDROOM DUPLEX FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Well Spaced Penthouse 4 Bedroom On 2 Floors + Study +tennis,"24,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,Luxury 4 Bedroom Detached House +bq In Shared Premises,"17,000,000",4.0,4.0,5.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Banana Island Ikoyi Lagos,Exquisitely Built 4 Bedroom Penthouse + Bq+ Pool,"25,000,000",4.0,4.0,0.0
2 BEDROOM DUPLEX For Sale,15years Mortgage Citadel 2.0 Estate Victoria Crest Abraham Adesanya Ajah Lagos,Mortgage Finance Available Up To 50% Of House Price,"1,800,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Premium 3 Bedroom Apartment+bq+pool,"10,000,000",3.0,3.0,3.0
5 BEDROOM DUPLEX FOR RENT,Off Awolowo Road Ikoyi Ikoyi Ikoyi Lagos,Commercial Use 5 Bedroom House+ 2 Rooms Bq On 900sqmts,"20,000,000",5.0,5.0,6.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Ikoyi Lagos,Classic 2 Bedroom Apartment,"7,000,000",2.0,2.0,3.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Banana Island Ikoyi Lagos,Luxury And Tastefully Finished 3 Bedroom Fully Serviced Apartment With Bq,"15,000,000",3.0,3.0,3.0
4 BEDROOM HOUSE FOR RENT,Old Ikoyi Lagos,Executive 4 Bedroom Terraced House + Bq,"18,000,000",4.0,4.0,5.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Victoria Island Lagos,Classic 3 Bedroom Apartment + Bq,"15,500,000",3.0,3.0,4.0
4 BEDROOM TERRACE FOR RENT,Old Ikoyi Ikoyi Ikoyi Lagos,"Luxury Penthouse On 2 Floors With 4 Bedrooms With Bq, Pool And Gym","11,000,000",4.0,4.0,5.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Exquisite Waterfront 3 Bedroom Apartment + Bq+tennis Etc,"15,000,000",3.0,3.0,4.0
